title,location,price,bedrooms,bathrooms,toilets,property_type,url
3 bedroom flat / apartment for rent,"Off Freedom Way, Lekki Phase 1, Lekki, Lagos","₦15,000,000per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3307774-newly-built-3-bedroom-maisonette-available
3 bedroom flat / apartment for rent,"Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","₦20,000,000per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3307782-newly-renovated-units-of-3-bedroom-apartments-with-bq
2 bedroom flat / apartment for rent,"No 11, Rotimi Adeniyi Street, Ikate Elegushi, Ikate, Lekki, Lagos","₦12,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3308433-luxury-and-well-maintained-2-bedroom-apartment-upstairs
4 bedroom terraced duplex for rent,"Ikate, Lekki, Lagos","₦25,000,000per annum",4,5,5,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/ikate/3308457-luxury-4-bedroom-terrace-duplex
4 bedroom semi-detached duplex for rent,"Ikate, Lekki, Lagos","₦15,000,000per annum",4,4,6,4 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/lekki/ikate/3307713-4-bedroom-semi-detached-duplex-with-bq
2 bedroom flat / apartment for rent,"Brown Stone, Ikate, Lekki, Lagos","₦15,500,000per annum",2,2,2,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3306431-luxury-furnished-2-bedroom
2 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦13,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3301897-brand-new-2-bedroom-flat
1 bedroom mini flat (room and parlour) for rent,"Ikate, Lekki, Lagos","₦12,000,000per annum",1,1,26,1 bedroom mini flat (room and parlour) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/mini-flats/lagos/lekki/ikate/3305675-1-bedroom-flat-with-gym-and-swimming-pool
5 bedroom detached duplex for rent,"Ikate, Lekki, Lagos","₦35,000,000per annum",5,5,6,5 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/lekki/ikate/3306390-fully-furnished-5-bedroom-detached-duplex
2 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦16,000,000per annum",2,3,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3306408-2-bedroom-apartment-with-elevator-swimming-pool
2 bedroom flat / apartment for rent,"Victoria Bay 2 Estate By Nike Art Gallery, Ikate, Lekki, Lagos","₦14,000,000per annum",2,0,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3306418-luxury-two-2-bedroom-apartment
2 bedroom house for rent,"Ikate, Lekki, Lagos","₦13,000,000per annum",2,0,0,2 bedroom house for rent,https://nigeriapropertycentre.com/for-rent/houses/lagos/lekki/ikate/3306419-fully-furnished-2-bedroom-maisonette-duplex
3 bedroom house for rent,"Ikate, Lekki, Lagos","₦14,000,000per annum",3,3,4,3 bedroom house for rent,https://nigeriapropertycentre.com/for-rent/houses/lagos/lekki/ikate/3303543-3-bedroom-apartment
2 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦13,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3304274-luxury-2-bedroom-apartment
5 bedroom semi-detached duplex for rent,"Ikate, Lekki, Lagos","₦40,000,000per annum",5,5,6,5 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/lekki/ikate/3304965-newly-built-5-bedroom-semi-detached-duplex-boys-quarter
3 bedroom flat / apartment for rent,"Off Ojulari, Ikate, Lekki, Lagos","₦7,500,000per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3304977-serviced-3-bedroom-flat-with-a-room-bq
2 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦10,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3304997-2-bedroom-apartment
4 bedroom detached duplex for rent,"Chevron Alternative Route, Agungi, Lekki, Lagos","₦12,000,000per annum",4,5,5,4 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/lekki/agungi/3306386-newly-renovated-4-bedroom-fully-detached-house-with-a-room-bq
3 bedroom flat / apartment for rent,"Agungi, Lekki, Lagos","₦6,500,000per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/agungi/2601246-serviced-3-bedroom-apartment-with-a-bq
5 bedroom detached duplex for rent,"Agungi, Lekki, Lagos","₦25,000,000per annum",5,5,6,5 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/lekki/agungi/3301903-modern-fully-furnished-5-bedroom-detached-house-with-bq
1 bedroom mini flat (room and parlour) for rent,"65 Ajiran Road, Agungi, Lekki, Lagos","₦2,500,000per annum",1,1,2,1 bedroom mini flat (room and parlour) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/mini-flats/lagos/lekki/agungi/3300050-flat-available-for-occupancy
3 bedroom flat / apartment for rent,"Agungi, Lekki, Lagos","₦8,000,000per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/agungi/3297446-3-bedroom-penthouse-apartment-with-bq-in-a-gated-call-to-access-estate
2 bedroom flat / apartment for rent,"Agungi, Lekki, Lagos","₦6,500,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/agungi/3297444-furnished-2-bedroom-flat-in-a-gated-call-to-access-estate
Self contain (single rooms) for rent,"Bakare Estate, Agungi, Lekki, Lagos","₦1,000,000per annum",0,1,1,Self contain (single rooms) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/self-contained/lagos/lekki/agungi/3288293-upstairs-a-room-self-con-with-open-kitchen-in-a-private-estate
4 bedroom detached duplex for rent,"Agungi, Lekki, Lagos","₦9,000,000per annum",4,4,5,4 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/lekki/agungi/3295606-lovely-4-bedrooms-detached-duplex-with-bq
1 bedroom mini flat (room and parlour) for rent,"Harmonic Crescent,, Agungi, Lekki, Lagos","₦2,500,000per annum",1,0,0,1 bedroom mini flat (room and parlour) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/mini-flats/lagos/lekki/agungi/3292818-1-bedroom-flat
1 bedroom mini flat (room and parlour) for rent,"Near Piccadilly, Agungi, Lekki, Lagos","₦2,500,000per annum",1,1,1,1 bedroom mini flat (room and parlour) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/mini-flats/lagos/lekki/agungi/3292564-nice-mini-flat
1 bedroom mini flat (room and parlour) for rent,"Off Piccadilly Hotel And Suite, Agungi, Lekki, Lagos","₦2,500,000per annum",1,1,2,1 bedroom mini flat (room and parlour) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/mini-flats/lagos/lekki/agungi/3292552-well-maintained-1-bedroom-apartment
3 bedroom flat / apartment for rent,"Agungi, Lekki, Lagos","₦6,000,000per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/agungi/3291800-executive-spacious-3-bedroom-apartment-all-rooms-ensuite
3 bedroom flat / apartment for rent,"Agungi, Lekki, Lagos","₦6,000,000per annum",3,0,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/agungi/3291190-luxury-spacious-3-bedroom-apartment-with-bq
4 bedroom semi-detached duplex for rent,"Agungi, Lekki, Lagos","₦12,000,000per annum",4,4,5,4 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/lekki/agungi/3287630-brand-new-4-bedroom-semi-detached-duplex-with-bq
2 bedroom flat / apartment for rent,"Agungi, Lekki, Lagos","₦6,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/agungi/3287589-2-bedroom-apartment
4 bedroom terraced duplex for rent,"Agungi, Lekki, Lagos","₦9,000,000per annum",4,0,5,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/agungi/3287519-4-bedroom-duplex
1 bedroom house for rent,"Silver Spring Estate, Agungi, Lekki, Lagos","₦1,500,000per annum",1,1,1,1 bedroom house for rent,https://nigeriapropertycentre.com/for-rent/houses/lagos/lekki/agungi/3286854-spacious-shared-apartment
3 bedroom flat / apartment for rent,"Agungi, Lekki, Lagos","₦6,000,000per annum",3,4,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/agungi/3212170-3-bedroom-apartment-with-a-bq
5 bedroom detached duplex for rent,"Agungi, Lekki, Lagos","₦8,000,000per annum",5,0,6,5 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/lekki/agungi/3286060-5-bedroom-fully-detached-duplex
4 bedroom semi-detached duplex for rent,"Agugi Road, Bakare Estate, Agungi, Lekki, Lagos","₦7,500,000per annum",4,4,5,4 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/lekki/agungi/3209597-luxury-spacious-nice-4-bedroom-duplex-world-class
3 bedroom flat / apartment for rent,"Agungi, Lekki, Lagos","₦7,500,000per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/agungi/3284452-luxury-3-bedroom-serviced-apartment-with-a-room-bq
Self contain (single rooms) for rent,"Obamusa Estate, Agungi, Lekki, Lagos","₦2,500,000per annum",0,1,1,Self contain (single rooms) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/self-contained/lagos/lekki/agungi/3284104-a-studio-apartment
2 bedroom flat / apartment for rent,"Agungi, Lekki, Lagos","₦15,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/agungi/3284093-two-bedroom-apartments
2 bedroom flat / apartment for rent,"Agungi, Lekki, Lagos","₦15,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/agungi/3283454-furnished-2-bedroom-apartment
Self contain (single rooms) for rent,"Agungi, Lekki, Lagos","₦2,500,000per annum",0,0,0,Self contain (single rooms) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/self-contained/lagos/lekki/agungi/3283266-spacious-studio-apartment
3 bedroom flat / apartment for rent,"Agungi, Lekki, Lagos","₦7,000,000per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/agungi/3279576-serviced-3-bedroom-apartment
3 bedroom terraced duplex for rent,"Agungi, Lekki, Lagos","₦9,000,000per annum",3,3,4,3 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/agungi/3281054-luxury-3-bedroom
3 bedroom flat / apartment for rent,"Agungi, Lekki, Lagos","₦7,000,000per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/agungi/3280780-luxury-3-bedroom-apartment
5 bedroom detached duplex for rent,"Agungi, Lekki, Lagos","₦22,000,000per annum",5,5,6,5 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/lekki/agungi/3280748-luxury-5-bedroom
5 bedroom detached duplex for rent,"Agungi, Lekki, Lagos","₦18,000,000per annum",5,5,6,5 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/lekki/agungi/3279767-furnished-luxury-5-bedrooms-fully-detached-duplex
2 bedroom flat / apartment for rent,"Agungi, Lekki, Lagos","₦10,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/agungi/3277567-fully-furnished-2-bedroom-apartment
5 bedroom detached duplex for rent,"Agungi, Lekki, Lagos","₦25,000,000per annum",5,5,6,5 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/lekki/agungi/2974749-luxury-furnished-5-bedroom-detached-duplex
5 bedroom house for rent,"Agungi, Lekki, Lagos","₦15,000,000per annum",5,5,6,5 bedroom house for rent,https://nigeriapropertycentre.com/for-rent/houses/lagos/lekki/agungi/3274498-5-bedroom-fully-detached-duplex-read-the-brief
3 bedroom terraced duplex for rent,"Agungi, Lekki, Lagos","₦9,000,000per annum",3,4,4,3 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/agungi/3063480-3-bedroom-terrace-duplex-with-bq
3 bedroom flat / apartment for rent,"Bridgegate Estate, Agungi, Lekki, Lagos","₦6,000,000per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/agungi/3274223-beautiful-3-bedroom-apartment-with-bq
2 bedroom flat / apartment for rent,"Agungi, Lekki, Lagos","₦10,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/agungi/3273883-furnished-2-bedroom-apartment
4 bedroom terraced duplex for rent,"Trinity County, Agungi, Lekki, Lagos","₦7,000,000per annum",4,5,5,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/agungi/3273738-4-bedroom-terrace-duplex-with-bq
2 bedroom flat / apartment for rent,"Agungi, Lekki, Lagos","₦10,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/agungi/3188133-furnished-2-bedroom-apartment
5 bedroom detached duplex for rent,"Agungi, Lekki, Lagos","₦18,000,000per annum",5,0,0,5 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/lekki/agungi/3270112-5-bedroom-furnished-luxury-duplex
3 bedroom flat / apartment for rent,"Agungi, Lekki, Lagos","₦7,000,000per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/agungi/3268604-newly-renovated-3-bedroom-flat
Self contain (single rooms) for rent,"Off Domino's Pizza, Agungi, Lekki, Lagos","₦1,800,000per annum",0,1,1,Self contain (single rooms) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/self-contained/lagos/lekki/agungi/3268644-a-spacious-room-self-contained-apartment-in-a-tightly-secured-estate
2 bedroom flat / apartment for rent,"Agungi, Lekki, Lagos","₦2,500,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/agungi/3264281-spacious-2-bedrooms-flat
5 bedroom detached duplex for rent,"Bakare Estate, Agungi, Lekki, Lagos","₦18,000,000per annum",5,5,6,5 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/lekki/agungi/3261221-partly-furnished-luxury-5-bedroom-detached-duplex-bq
4 bedroom terraced duplex for rent,"Greenvile Estate, Agungi, Lekki, Lagos","₦9,000,000per annum",4,4,5,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/agungi/3260074-4-bedroom-terrace
Commercial property for rent,"Agungi, Lekki, Lagos","₦15,400,000per annum",0,1,1,Commercial property for rent,https://nigeriapropertycentre.com/for-rent/commercial/lagos/lekki/agungi/2746514-280sqm-commercial-space
Shop for rent,"Agungi, Lekki, Lagos","₦4,500,000per annum",0,1,1,Shop for rent,https://nigeriapropertycentre.com/for-rent/commercial/shops/lagos/lekki/agungi/2746199-commercial-shopoffice-space-available
Office space for rent,"Agungi, Lekki, Lagos","₦2,000,000per annum",0,1,1,Office space for rent,https://nigeriapropertycentre.com/for-rent/commercial/offices/lagos/lekki/agungi/2918229-commercial-shop-office-space
3 bedroom flat / apartment for rent,"Greenville Estate, Agungi, Lekki, Lagos","₦6,000,000per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/agungi/3252428-serviced-3-bedrooms-apartment-with-bq-in-a-secured-gated-estate
3 bedroom terraced duplex for rent,"Agungi, Lekki, Lagos","₦9,000,000per annum",3,3,4,3 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/agungi/3062820-3-bedroom-terrace-duplex-with-a-bq
4 bedroom semi-detached duplex for rent,"Friends Colony Estate, Agungi, Lekki, Lagos","₦14,000,000per annum",4,4,5,4 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/lekki/agungi/2132850-a-contemporary-4bedroom-detached-duplex-with-servant-quarters
4 bedroom flat / apartment for rent,"Opposite Dominoâs Pizza, Agungi, Lekki, Lagos","₦2,500,000per month",4,4,5,4 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/agungi/2892401-fully-furnished-4-bedroom-apartment-with-2-balconies
4 bedroom detached duplex for rent,"Orchid Road, Lekki, Lagos","₦9,000,000per annum",4,5,5,4 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/lekki/3309608-newly-built-4-bedroom-semi-detached-duplex-wi
5 bedroom detached duplex for rent,"Southern View Estate, Chevron Toll Gate, Lekki, Lagos","₦10,000,000per annum",5,6,7,5 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/lekki/3309557-5-bedroom-fully-detached-duplex-with-bq
5 bedroom detached duplex for rent,"Pinnock Estate, Osapa, Lekki, Lagos","₦20,000,000per annum",5,6,7,5 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/lekki/3309588-5-bedroom-fully-detached-duplex-with-study-room-bq
5 bedroom detached duplex for rent,"Megamound Estate, Lekki, Lagos","₦15,000,000per annum",5,5,6,5 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/lekki/3291248-massive-5-bedroom-fully-detached-duplex
4 bedroom detached duplex for rent,"Orchid Road, Lekki, Lagos","₦8,500,000per annum",4,4,5,4 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/lekki/3304113-4-bedroom-spacious-semi-detached-duplex-available
3 bedroom house for rent,"Ikate, Lekki, Lagos","₦15,000,000per annum",3,4,4,3 bedroom house for rent,https://nigeriapropertycentre.com/for-rent/houses/lagos/lekki/ikate/3309612-luxury-3-bedroom-apartment-3rd-floor
4 bedroom detached duplex for rent,"Ikota, Lekki, Lagos","₦12,000,000per annum",4,5,5,4 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/lekki/ikota/3309603-luxury-4-bedroom-detached-duplex
2 bedroom flat / apartment for rent,"Ikate, Ilasan, Lekki, Lagos","₦11,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ilasan/3306107-2-bedroom-flat-with-open-kitchen
2 bedroom flat / apartment for rent,"Ologolo, Lekki, Lagos","₦8,000,000per annum",2,3,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ologolo/3277980-spacious-2-bedroom-apartment-available
5 bedroom detached duplex for rent,"Ikate Elegushi, Lekki, Lagos","₦60,000,000per annum",5,3,6,5 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/lekki/ikate-elegushi/3309609-750sqm-land-with-old-structure-facing-lekki-epe-expressway
2 bedroom flat / apartment for rent,"Ikate, Ikate Elegushi, Lekki, Lagos","₦5,500,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate-elegushi/3309594-2bedroom-unfurnished-spacious-apartment-in-an-interlock-estate
4 bedroom semi-detached duplex for rent,"Osapa, Lekki, Lagos","₦12,000,000per annum",4,4,5,4 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/lekki/osapa/3294792-four-bedroom-semi-detached-duplex
3 bedroom semi-detached duplex for rent,"Agungi, Lekki, Lagos","₦8,000,000per annum",3,3,4,3 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/lekki/agungi/3309391-nicely-finished-3-bedroom-semi-detached-duplex
3 bedroom flat / apartment for rent,"Lekki Phase 1, Lekki, Lagos","₦160,000,000per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3300353-8-units-of-3-bedroom-block-of-flats
Shop for rent,"Shop Space For Rent, Lekki Phase 1, Lekki, Lagos","₦8,000,000per annum",0,0,0,Shop for rent,https://nigeriapropertycentre.com/for-rent/commercial/shops/lagos/lekki/lekki-phase-1/3309613-shop-space-located-in-a-central-area
3 bedroom flat / apartment for rent,"Off Admiralty Road, Lekki Phase 1, Lekki, Lagos","₦12,000,000per annum",3,0,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3309601-luxury-3-bedroom-apartment-both-unfurnished-furnished
Shop for rent,"Shop Space For Rent, Lekki Phase 1, Lekki, Lagos","₦5,000,000per annum",0,0,0,Shop for rent,https://nigeriapropertycentre.com/for-rent/commercial/shops/lagos/lekki/lekki-phase-1/3309596-shop-space-available-in-a-commercial-area
1 bedroom mini flat (room and parlour) for rent,"Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","₦6,000,000per annum",1,0,2,1 bedroom mini flat (room and parlour) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/mini-flats/lagos/lekki/lekki-phase-1/3309592-luxury-spacious-1-bedroom-apartment
